TEST #,TABLE,FIELD,RULE,,EXPLANATION,SQL STATEMENT,IN PLTS,TEST STATUS IN PLTS,COMMENT
223,SWMFAC,DAM_HEIGHT,"If value other than 0, then BMP_INSPECTION table, must have non 0's for EMBD_CVR, EMBD_ERO, EMBD_TOE, EMBU_CVR, EMBU_ERO, EMBU_TOE, EMBD_SEEP",,"If dam height (DAM_HEIGHT) has a value other than 0, then the following fields in the best management practice inspection table (BMP_INSPECTION) must have values other than 0: Downstream embankment cover (EMBD_CVR), downstream embankment erosion (EMBD_ERO), downstream embankment seepage (EMBD_SEEP), downstream embankment toe condition (EMBD_TOE), upstream embankment cover (EMBU_CVR), upstream embankment erosion (EMBU_ERO), and upstream embankment toe condition (EMBU_TOE).",(DAM_HEIGHT IS NOT NULL AND FACILITY_ID IN(SELECT FACILITY_ID FROM BMP_INSPECTION WHERE EMBD_CVR='0' AND EMBD_ERO='0' AND EMBD_TOE='0' AND EMBU_CVR='0' AND EMBU_TOE='0' AND EMBD_SEEP='0')) AND (DAM_HEIGHT <> 0 AND FACILITY_ID IN(SELECT FACILITY_ID FROM BMP_INSPECTION WHERE EMBD_CVR='0' AND EMBD_ERO='0' AND EMBD_TOE='0' AND EMBU_CVR='0' AND EMBU_TOE='0' AND EMBD_SEEP='0')),YES,WORKS,
224,SWMFAC,DAM_HEIGHT,"If has non 0 value, then DESIGNATION cannot be O",,"If dam height (DAM_HEIGHT) has a value other than 0, then the designation (DESIGNATION) cannot be open channel system (O).",DAM_HEIGHT<>0 AND DESIGNATION='O',YES,WORKS,
225,SWMFAC,DAM_HEIGHT,"If has non 0 value, then DESIGN_SUB cannot be INFTREN, UGSFLT, DRYSWL, WETSWL, OTHER OCS, OILGRIT, UGD, STREST, GRSWL, PORPAV, GRSCHCRD",,"If dam height (DAM_HEIGHT) has a value other than 0, then the designation subcategory (DESIGN_SUB) cannot be infiltration trench (INFTREN), underground storage filter (UGSFLT), dry swale (DRYSWL), wet swale (WETSWL), other open channel system (OTHER OCS), oil grit separator (OILGRIT), underground detention (UGD), stream restoration (STREST), grass swale (GRSWL), porous pavement (PORPAV), or grass channel credit (GRDSCHCRD).","DAM_HEIGHT<>0 AND DESIGN_SUB IN ('INFTREN','UGSFLT', 'DRYSWL', 'WETSWL', 'OTHER OCS', 'OILGRIT', 'UGD', 'STREST', 'GRSWL', 'GRSCHCRD', PORPAV')",YES,WORKS,
226,SWMFAC,DATEABANDONED,"If has value other than 0, then FEAT_STATUS must be ABD",,"If abandoned data (DATE_ABANDONED) has a value, then the feature status (FEAT_STATUS) must equal abandoned (ABD).",DATEABANDONED IS NOT NULL AND  DATEABANDONED <> 0 AND FEAT_STATUS NOT IN('ABD'),YES,WORKS,
227,SWMFAC,DESIGNATION,"If P then DESIG_SUB must be MEXDET, RETPOND, WEXDET, POCKPOND, DETPOND, OTHER POND, DEXDET",,"If designation (DESIGNATION) equals pond (P) then designation subcategory (DESIGN_SUB) must be micropool extended detention pond (MEXDET), wet pond (REXDET), pocket pond (POCKPOND), detention pond (DETPOND), other pond (OTHER POND), or dry pond (DEXDET).","DESIGNATION='P' AND DESIGN_SUB NOT IN('MEXDET', 'RETPOND', 'WEXDET',' POCKPOND', 'DETPOND', 'DEXDET', 'OTHER POND')",YES,WORKS,
228,SWMFAC,DESIGNATION,"If W then SHALLMSH, EDSHWETLD, WETLDSYS, POCKWTLD, OTHER WETLAND",,"If designation (DESIGNATION) equals wetland (W) then designation subcategory (DESIGN_SUB) must be shallow marsh (SHALLMSH), ED shallow wetland (EDSHWETLD), pond/wetland system (WETLDSYS), pocket wetland (POCKWTLD), or other wetland (OTHER WETLAND).","DESIGNATION='W' AND DESIGN_SUB NOT IN('SHALMSH', 'EDSHWTLD', 'WTLDSYS', 'POCKWTLD', 'OTHER WETLAND')",YES,WORKS,
229,SWMFAC,DESIGNATION,"If I then INFTREN, INFBASN, OTHER INFILTRATION",,"If designation (DESIGNATION) equals infiltration (I) then designation subcategory (DESIGN_SUB) must be infiltration trench (INFTREN), infiltration basin (INFBASN), or other infiltration (OTHER INFILTRATION)","DESIGNATION='I' AND DESIGN_SUB NOT IN('INFTREN', 'INFBASN', 'OTHER INFILTRATION')",YES,WORKS,
230,SWMFAC,DESIGNATION,"If F then SSNDFLT, UGSFLT, ORGFLT, BIORET, OTHER FILTERING",,"If designation (DESIGNATION) equals filtering (F) then designation subcategory (DESIGN_SUB) must be surface sand filter (SSNDFLT), underground sand filter (UGSFLT), organic filter (ORGFLT), bioretention (BIORET), or other filtering (OTHER FILTERING).","DESIGNATION='F' AND DESIGN_SUB NOT IN('SSNDFLT', 'UGSFLT', 'ORGFLT', 'BIORET', 'OTHER FILTERING')",YES,WORKS,
231,SWMFAC,DESIGNATION,"If O then DRYSWL, WETSWL, OTHER OCS, GRSWL",,"If designation (DESIGNATION) equals open channel system (O) then designation subcategory (DESIGN_SUB) must be dry swale (DRYSWL), grass swale (GRSWL), grass channel credit (GRSCHCRD), wet swale (WETSWL), or other open channel system (OTHER OCS).","DESIGNATION='O' AND DESIGN_SUB NOT IN('DRYSWL', 'WETSWL', 'OTHER OCS', 'GRSCHCRD', 'GRSWL')",YES,WORKS,
232,SWMFAC,DESIGNATION,"If U then OILGRIT, UGD, OTHER, STREST, PORPAV",,"If designation (DESIGNATION) equals other (U) then designation subcategory (DESIGN_SUB) must be oil grit separator (OILGRIT), underground detention (UGSFLT), porous pavement (PORPAV), stream restoration (STREST), or other (OTHER).","DESIGNATION='U' AND DESIGN_SUB NOT IN('OILGRIT','UGD','PORPAV','OTHER', 'STREST')",YES,WORKS,
234,SWMFAC,FACILITY_ID,Cannot be NULL,,Facility identifier (FACILITY_ID) cannot be NULL,FACILITY_ID IS NULL,YES,WORKS,
235,SWMFAC,FEAT_STATUS,"If NB or PRO, there should not be a record in BMP_INSPECTION",,If feature status (FEAT_STATUS) is either not built (NB) or proposed (PRO) the facility identifier (FACILITY_ID) should not exist in the best management practice inspection (BMP_inspection) table.,"FEAT_STATUS IN('NB', 'PRO') AND FACILITY_ID IN(SELECT FACILITY_ID FROM BMP_INSPECTION)",YES,WORKS,
236,SWMFAC,FEAT_STATUS,"If NB, RMV, ABD, or PRO, there should not be a record in DRAINAGE_SWMFACILITY",,If feature status (FEAT_STATUS) is either not built (NB) or proposed (PRO) the facility identifier (FACILITY_ID) should not exist in the storm water management drainage area (DRAINAGE_SWMFACILITY) table.,"FEAT_STATUS IN('NB', 'RMV', 'ABD', 'PRO') AND FACILITY_ID IN(SELECT FACILITY_ID FROM DRAINAGE_SWMFACILITY)",YES,WORKS,
237,SWMFAC,FENCE_MAT,"If non 0 then BMP_INSPECTON table, FENCES cannot be 0",,"If fence material (FENCE_MAT) does not equal 0, then the fences (FENCES) field in the best management practice inspection (BMP_INSPECTION) table cannot be 0.","FENCE_MAT <> '0' AND FACILITY_ID IN(SELECT FACILITY_ID FROM BMP_INSPECTION WHERE FENCES IN('', '0'))",YES,WORKS,
238,SWMFAC,LOC_BMP,Cannot be NULL,,Location description of the best management practice (LOC_BMP) cannot be NULL,LOC_BMP IS NULL,YES,WORKS,
239,SWMFAC,META_ID,Cannot be NULL,,Metadata identifier (META_ID) cannot be NULL,META_ID IS NULL,YES,WORKS,
240,SWMFAC,OWNER_ID,"If not null, and OWNER_CODE S or J then BMP_INSPECTION needs record",,If owner identifier (OWNER_ID) does not equal null (NULL) and the owner code (OWNER_CODE) is State Highway Administration Owned (S) or joint-use owned (J) then the facility identifier (FACILITY_ID) must exist in the best management practices inspection (BMP_INSPECTION) table.,OWNER_ID IN(SELECT OWNER_ID FROM OWNER WHERE OWNER_CODE = 'S' OR OWNER_CODE = 'J') AND FACILITY_ID NOT IN(SELECT FACILITY_ID FROM BMP_INSPECTION WHERE FACILITY_ID IS NOT NULL),YES,WORKS,
241,SWMFAC,ROAD_NAME,Cannot be NULL,,Road name (ROAD_NAME) cannot be NULL,ROAD_NAME IS NULL,YES,WORKS,
243,SWMFAC,SWM_FAC_NO,Cannot be NULL,,Storm water Management Facility Number (SWM_FAC_NO) cannot be NULL,SWM_FAC_NO IS NULL,YES,WORKS,
244,SWMFAC,TRCH_LN,"If has value other then 0, then DESIGNATION must be I or O",,"If trench length (TRCH_LN) has a value other than 0, then the designation (DESIGNATION) must be infiltration (I) or open channel system (O).","TRCH_LN IS NOT NULL AND TRCH_LN <> 0 AND DESIGNATION NOT IN('I', 'O')",YES,WORKS,
245,SWMFAC,TRCH_LN,"If has value other then 0, then DESIGN_SUB must be INFTREN, OTHER INFILTRATION, DRYSWL, WETSWL, OTHER OCS, GRSWL",,"If trench length (TRCH_LN) has a value other than 0, then the designation subcategory (DESIGN_SUB) must be infiltration (INFTREN), other infiltration (OTHER INFILTRATION), dry swale (DRYSWL), wet swale (WETSWL), other open channel system (OTHER OCS), or grass swale (GRSWL).","TRCH_LN <> 0 AND TRCH_LN IS NOT NULL AND DESIGN_SUB NOT IN('INFTREN', 'OTHER INFILTRATION', 'DRYSWL', 'WETSWL', 'OTHER OCS')",YES,WORKS,
246,SWMFAC,TRCH_WDTH,"If has value other then 0, then DESIGNATION must be I or O",,"If trench width (TRCH_WDTH) has a value other than 0, then the designation (DESIGNATION) must be infiltration (I) or open channel system (O).","TRCH_WDTH <>0 AND TRCH_WDTH IS NOT NULL AND DESIGNATION NOT IN('I', 'O')",YES,WORKS,
247,SWMFAC,TRCH_WDTH,"If has value other then 0, then DESIGN_SUB must be INFTREN, OTHER INFILTRATION, DRYSWL, WETSWL, OTHER OCS, GRSWL",,"If trench width (TRCH_WDTH) has a value other than 0, then the designation subcategory (DESIGN_SUB) must be infiltration (INFTREN), other infiltration (OTHER INFILTRATION), dry swale (DRYSWL), wet swale (WETSWL), other open channel system (OTHER OCS), or grass swale (GRSWL).","TRCH_WDTH <> 0 AND TRCH_WDTH IS NOT NULL AND DESIGN_SUB NOT IN('INFTREN', 'OTHER INFILTRATION', 'DRYSWL', 'WETSWL', 'OTHER OCS')",YES,WORKS,
248,SWMFAC,VIC_BMP,Cannot be NULL,,ADC location of the best management practice (VIC_BMP) cannot be NULL,VIC_BMP IS NULL,YES,WORKS,
265,SWMFAC,PLANDATE,Cannot be NULL or 0,chk_struct_plandate,Plan date (PLANDATE) cannot be NULL or 0 ,PLANDATE IS NULL OR PLANDATE = 0,YES,WORKS,
249,STRUCTURES,,"In STR_TYPE in STRUCTURES should be ID, EW, ES, PP, UNK EH, IN, UNK IN",,"If structure identifier (STRUCTURE_ID) exists in the storm water management facility has upstream structure (SWMFacilityHasUpstreammStruct) relationship, the structure type (STR_TYPE) in the structures (STRUCTURES) table must be ditch intersection (ID), end wall (EW), end section (ES), projecting pipe (PP), unknown end headwall (UNK EH), inlet (IN), or unknown inlet (UNK IN).","STR_TYPE NOT IN('ID','EW','ES','PP','UNK EH','IN','UNK IN') AND STRUCTURE_ID IN(SELECT STRUCTURE_ID FROM SWMFACILITYHASUPSTREAMSTRUCT)",YES,WORKS,
250,SWMRISER,STRUCTURE_ID,Cannot be NULL,chk_swmriser_null,Structure identifier (STRUCTURE_ID) cannot be NULL,STRUCTURE_ID IS NULL,YES,WORKS,
251,SWMRISER,,STR_TYPE in STRUCTURES = SW or UNK SW,chk_swmriser_str_type,All records in the swmriser table (SWMRISER) must have a structure type (STR_TYPE) in the structures table (STRUCTURES) equal to SWM structure (SW) or unknown SWM structure (UNK SW).,"STRUCTURE_ID NOT IN(SELECT STRUCTURE_ID FROM STRUCTURES WHERE STR_TYPE IN('SW', 'UNK SW'))",YES,WORKS,
252,WEIR,STRUCTURE_ID,Cannot be NULL,chk_weir_null,Structure identifier (STRUCTURE_ID) cannot be NULL,STRUCTURE_ID IS NULL,YES,WORKS,
253,WEIR,,"STR_TYPE in STRUCTURES = SW, EM or UNK SW",chk_weir_str_type,"All records in the weir table (WEIR) must have a structure type (STR_TYPE) in the structures table (STRUCTURES) equal to SWM structure (SW), emergency spillway (EM), or unknown SWM structure (UNK SW).","STRUCTURE_ID NOT IN(SELECT STRUCTURE_ID FROM STRUCTURES WHERE STR_TYPE IN('SW', 'UNK SW', 'EM'))",YES,WORKS,
255,STRUCTURES,STR_TYPE,"If UNK EH then FUNC_CLASS = IF, OF, or CS",,"If structure type (STR_TYPE) equals unknown end headwall (UNK_EH) then the functional class (FUNC_CLASS) must be equal to inflow (IF), outflow (OF), or control structure (CS).","STR_TYPE = 'UNK EH' AND FUNC_CLASS NOT IN('IF','OF','CS')",YES,WORKS,
259,SWMFAC,DESIGNATION,"If E then A-1, A-2, A-3, N-1, N-2, N-3, M-1, M-2, M-3, M-4, M-5, M-6, M-7, M-8A, M-8B, M-8C, M-9",,"If designation (DESIGNATION) equals environmental site design facility (E) then designation subcategory (DESIGN_SUB) must be green roof (A-1), permeable pavement (A-2), reinforced turf (A-3), disconnection of rooftop runoff (N-1), disconnection of non-rooftop runoff (N-2), sheet flow to conservation areas (N-3), rainwater harvesting (M-1), submerged gravel wetland (M-2), landscape infiltration (M-3), infiltration berm (M-4), dry well (M-5), micro-bioretention (M-6), rain gardens (M-7), grass swale (M-8A),  bio-swale (M-8B), wet swale (M-8C), enhanced filters (M-9).","DESIGNATION = 'E' AND DESIGN_SUB NOT IN('A-1','A-2','A-3','N-1','N-2','N-3','M-1','M-2','M-3','M-4','M-5','M-6','M-7','M-8A','M-8B','M-8C','M-9')",YES,WORKS,
260,SWMFAC,,SWMFAC must have centroid,,Storm water management facility (SWMFAC) must have centroid (BMP_CENTROID),FACILITY_ID in (SELECT SWMFAC.FACILITY_ID FROM SWMFAC LEFT JOIN BMP_CENTROID ON SWMFAC.FACILITY_ID = BMP_CENTROID.FACILITY_ID WHERE (((BMP_CENTROID.FACILITY_ID) Is Null))),YES,WORKS,
261,SWMFAC,SWMFAC_ID,"If value, then record must exist in DRAINAGE_SWMFACILITY",,If storm water management identifier (FACILITY_ID) has a value then a storm water management facility drainage area (DRAINAGE_SWMFAC) must exist.,FACILITY_ID NOT IN(SELECT FACILITY_ID FROM DRAINAGE_SWMFACILITY WHERE NOT FACILITY_ID IS NULL ),YES,WORKS,
262,STRUCTURES,MAJ_OUTF,If yes and STREAMDIST in FLDSC_SITE is not 9999 then NPDES in STRUCTURES is yes,,"If major outfall (MAJ_OUTF) equals true (1) and the stream distance field (STREAMDIST) in the field screen site table (FLDSC_SITE) is not equal to 9999, then the NPDES outfall field (NPDES_OUTF) in the structures table (STRUCTURES) must equal true (1).",MAJ_OUTF = '1' AND NPDES_OUTF <> '1' AND STRUCTURE_ID IN(SELECT STRUCTURE_ID FROM FLDSC_SITE WHERE STREAMDIST <> 9999),YES,WORKS,
,SWMFacilityHasUpstrmstruct,,These structures and all network connected conveyances and structures should fall within the associated DRAINAGE_SWMFACILITY feature,,These structures and all network connected conveyances and structures should fall within the associated storm water management facility drainage area (DRAINAGE_SWMFACILITY) feature.,,YES - SPATIAL TEST,Spatial,
,BMP_CENTROID,,Must be located within SWMFAC,,Best Management Practice centroid (BMP_CENTROID) must intersect stormwater management facility (SWMFAC).,,YES - SPATIAL TEST,Spatial,
,CONVEYANCE,,Should not have multi-part features,,,,YES - SPATIAL TEST,Spatial,
,CONVEYANCE,,Polyline should not close on itself ,,,,YES - SPATIAL TEST,Spatial,
,DRAINAGE_STRUCTURE,,Should not overlap,Drainage areas should not overlap,Drainage areas should not overlap.,,YES - SPATIAL TEST,Spatial,
,DRAINAGE_STRUCTURE,,Slivers should not exist between features,,,,YES - SPATIAL TEST,Spatial,
,DRAINAGE_STRUCTURE,,Should not have multi-part features,,,,YES - SPATIAL TEST,Spatial,
,DRAINAGE_SWMFACILITY,,Should not overlap,Drainage areas should not overlap,Drainage areas should not overlap.,,YES - SPATIAL TEST,Spatial,
,DRAINAGE_SWMFACILITY,,Slivers should not exist between features,,,,YES - SPATIAL TEST,Spatial,
,DRAINAGE_SWMFACILITY,4MI_VICINITY_AIRPORT,If has value must fall within AIRPORT feature class,,If 4MI_VICINITY_AIRPORT equals true (1) then the storm water management facility (SWMFAC) must intersect the 4 MILE AIRPORT BUFFER feature class.,,YES - SPATIAL TEST,Spatial,Need SHA's file to add this to the batch test.
,DRAINAGE_SWMFACILITY,,Should not have multi-part features,,,,YES - SPATIAL TEST,Spatial,
,SWMFAC,,Must be located within DRAINAGE_SWMFACILITY,,,,YES - SPATIAL TEST,Spatial,
,SWMFAC,,Slivers should not exist between features,,,,YES - SPATIAL TEST,Spatial,
,All Feature Classes and Tables,,Domain Check,,,,YES - SPATIAL TEST,Spatial,
,All Feature Classes  ,,Invalid Geometry Check,,,,YES - SPATIAL TEST,Spatial,
,All Feature Classes,,Duplicate geometry check,,,,YES - SPATIAL TEST,Spatial,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
